#ASSEMBLY_ID	GS19240-180-36-21-ASM
#FORMAT_VERSION	1.3
#GENERATED_AT	2010-Jul-14 14:19:17.452674
#GENERATED_BY	exportTools
#LIBRARY	GS00648-CLS_C05
#SAMPLE	GS00028-DNA_C01
#SOFTWARE_VERSION	1.8.0.23
#TYPE	LIB-MATE-GAPS

>mateGap	frequency
1016	4.91318e-08
1017	5.22729e-08
1018	5.1769e-08
1019	5.53132e-08
1020	5.36419e-08
1021	5.35663e-08
1022	5.41542e-08
1023	5.24829e-08
1024	5.35243e-08
1025	5.1853e-08
1026	4.90899e-08
1027	4.88295e-08
1028	4.88295e-08
1029	4.88295e-08
1030	4.88295e-08
1031	4.88295e-08
1032	4.88295e-08
1033	4.88295e-08
1034	4.88295e-08
1035	4.88295e-08
1036	4.88295e-08
1037	4.88295e-08
1038	4.88295e-08
1039	4.88295e-08
1040	4.88295e-08
1041	4.88295e-08
1042	4.88295e-08
1043	4.88295e-08
1044	5.14835e-08
1045	4.98877e-08
1046	4.94342e-08
1047	4.88295e-08
1048	4.88295e-08
1049	4.88295e-08
1050	4.88295e-08
1051	4.88295e-08
1052	4.88295e-08
1053	4.94174e-08
1054	4.88295e-08
1055	4.88295e-08
1056	4.88295e-08
1057	4.88295e-08
1058	4.88295e-08
1059	4.88295e-08
1060	4.88295e-08
1061	4.88295e-08
1062	4.88295e-08
1063	4.88295e-08
1064	4.88295e-08
1065	4.88295e-08
1066	4.88295e-08
1067	4.88295e-08
1068	4.88295e-08
1069	4.88295e-08
1070	4.88295e-08
1071	4.88295e-08
1072	4.88295e-08
1073	4.88295e-08
1074	4.88295e-08
1075	4.88295e-08
1076	4.88295e-08
1077	4.88295e-08
1078	4.88295e-08
1079	4.88295e-08
1080	4.88295e-08
1081	4.88295e-08
1082	4.88295e-08
1083	4.88295e-08
1084	4.88295e-08
1085	4.88295e-08
1086	4.88295e-08
1087	4.88295e-08
1088	4.88295e-08
1089	4.88295e-08
1090	4.88295e-08
1091	4.88295e-08
1092	4.88295e-08
1093	4.88295e-08
1094	4.88295e-08
1095	4.88295e-08
1096	4.88295e-08
1097	4.88295e-08
1098	4.88295e-08
1099	4.88295e-08
1100	4.88295e-08
1101	4.88295e-08
1102	4.88295e-08
1103	4.88295e-08
1104	4.88295e-08
1105	4.88295e-08
1106	4.88295e-08
1107	4.88295e-08
1108	4.88295e-08
1109	4.88295e-08
1110	4.88295e-08
1111	4.88295e-08
1112	4.88295e-08
1113	4.88295e-08
1114	4.88295e-08
1115	4.88295e-08
1116	4.88295e-08
1117	4.88295e-08
1118	4.88295e-08
1119	4.88295e-08
1120	4.88295e-08
1121	4.88295e-08
1122	4.88295e-08
1123	4.88295e-08
1124	4.88295e-08
1125	4.88295e-08
1126	4.88295e-08
1127	4.88295e-08
1128	4.88295e-08
1129	4.88295e-08
1130	4.88295e-08
1131	4.88295e-08
1132	4.88295e-08
1133	4.88295e-08
1134	4.88295e-08
